TIC ID,TIC,TOI,Telescope,Camera,Filter,Pixel Scale,PSF,Phot Aperture Rad,Obs Date,Obs Duration,Num Obs,Obs Type,Transit Coverage,Delta Mag,User,Group,Tag,Notes
254113311,,TOI 1130.02,LCO-SAAO-1m0 (1.0 m),Sinistro,ip,0.389,3.42,15.0,2021-08-02,347.0,471,Continuous,Ingress,,barkaoui,tfopwg,98692,
254113311,,TOI 1130.02,LCO-CTIO-1m0 (1.0 m),Sinistro,ip,0.389,2.15,13.0,2021-08-10,413.0,556,Continuous,Full,,barkaoui,tfopwg,98881,
254113311,,TOI 1130.02,LCO-CTIO-1m0 (1.0 m),Sinistro,ip,0.389,2.33,16.0,2021-06-26,376.0,498,Continuous,Full,,barkaoui,tfopwg,97973,
254113311,,TOI 1130.01,LCO-SSO (1.0 m),Sinistro,ip,0.39,3.27,14.0,2021-07-30,245.0,323,Continuous,Full,,schwarz,tfopwg,98598,
254113311,,TOI 1130.01,ASTEP-ANTARCTICA (0.4 m),FLI Proline 16800E 4Kx4K,Rc,0.93,4.92,10.0,2021-08-24,424.0,148,Continuous,Full,,suarez,tfopwg,99828,
254113311,,TOI 1130.02,LCO-CTIO-1m0 (1.0 m),Sinistro,ip,0.389,4.11,20.0,2021-08-06,318.0,423,Continuous,Full,,barkaoui,tfopwg,98844,
254113311,,TOI 1130.01,C11 Edge HD (0.28 m),Atik 460EX,R,1.01,2.91,6.0,2021-09-01,191.0,603,Continuous,Full,,kulh,tfopwg,107605,
254113311,,TOI 1130.02,LCO-SSO (1 m),SINISTRO,ip,0.389,,11.0,2021-08-31,147.0,495,Continuous,Egress,,zambelli,tfopwg,437156,
254113311,,TOI 1130.01,ASTEP-ANTARCTICA (0.4 m),FLI KL400,B-ASTEP+: 555 (146) nm,1.13,6.38,7.0,2024-06-24,388.0,370,Continuous,Full,,suarez,tfopwg,441890,
254113311,,TOI 1130.01,LCO-SAAO-0m35 (0.35 m),QHY600,ip,0.73,2.26,9.0,2024-06-24,233.0,242,Continuous,Full,,schwarz,tfopwg,441306,
254113311,,TOI 1130.02,LCO-SAAO-1m0 (1.0 m),SINISTRO,ip,0.389,3.22,15.0,2024-04-19,283.0,324,Continuous,Full,,schwarz,tfopwg,439961,
254113311,,TOI 1130.01,LCO-CTIO-0m35 (0.35 m),QHY600,ip,0.73,2.07,8.0,2024-08-13,233.0,226,Continuous,Full,,schwarz,tfopwg,442218,
254113311,,TOI 1130.01,Brierfield036m (0.36 m),Moravian 16803,Rc,0.735,2.69,9.0,2024-08-22,249.0,162,Continuous,Full,4.8,radford,tfopwg,442412,
254113311,,TOI 1130.01,ASTEP-ANTARCTICA (0.4 m),ANDOR iKon-L 936,R-ASTEP+: 850 (138) nm,1.39,6.17,7.0,2024-06-24,351.0,1521,Continuous,Full,,suarez,tfopwg,441890,
254113311,,TOI 1130.02,LCO-CTIO-1m0 (1.0 m),SINISTRO,ip,0.389,2.81,15.0,2024-05-02,315.0,322,Continuous,Full,,schwarz,tfopwg,440374,
254113311,,TOI 1130.02,LCO-CTIO-1m0 (1.0 m),SINISTRO,ip,0.389,3.01,15.0,2024-04-28,298.0,250,Continuous,Full,,schwarz,tfopwg,440269,
254113311,,TOI 1130.01,LCO-CTIO-1m0 (1.0 m),SINISTRO,ip,0.389,3.11,15.0,2024-06-08,235.0,228,Continuous,Full,,schwarz,tfopwg,441178,
254113311,,TOI 1130.02,LCO-CTIO-1m0 (1.0 m),SINISTRO,ip,0.389,3.62,16.0,2024-06-16,394.0,507,Continuous,Full,,schwarz,tfopwg,441233,
254113311,,TOI 1130.02,LCO-CTIO-1m0 (1.0 m),SINISTRO,ip,0.389,3.48,16.0,2024-06-20,348.0,466,Continuous,Full,,schwarz,tfopwg,441281,
